key,text
Bhavana Issar + Caregiver Saathi (Headline + About + JD),"Dignifying Care-related Work & Valuing Emotional Labour to unlock the potential of Women ? Founder CEO: Caregiver Saathi I HR - OD Consultant: Sambhaavna I Coach I Speaker I Motorcyclist I Limca record holder Care related work is the invisible engine of economy and the very essence of human existence. Over the years this aspect of life has been relegated to gendered roles in across communities and cultures. As we build a world of gender equality, it is imperative that we account for the care-related work that goes unnoticed and undervalued. Caregiver Saathi is an attempt to institutionalize care-related work and value its contribution in building an inclusive world. It is also the ikigai for Bhavana as it is at the intersection of her life experience, professional and academic qualifications and dreams. Bhavana comes with nearly 25+ years of experience in diverse global companies as a consultant, an HR leader and a passionate person with diverse interests. She brings practical experience of accomplishments inside organisations along with a depth of professional knowledge, which she continues to challenge and build. She is the Founder & CEO Sambhaavna (www.sambhaavna.com), a business consulting firm and Caregiver Saathi (www.caregiversaathi.co.in) , a social enterprise that aims to create an ecosystem of well-being for the informal caregivers who are the primary caregivers to a family member with terminally illness or with chronic medical conditions. Additionally, she is Fellow and practicing facilitator in Process Work & OD Practitioner with Sumedhas Academy for Human Context (www.sumedhas.org ) Global Ambassador for Global Moto Adventures (www.globalmotoadv.com), a platform that supports women motorcyclists to achieve their dreams.Visiting faculty at Indian Institute for Management, Ahmedabad (www.iima.ac.in)She believes that we thrive in organizations or spaces that are co-created, trusting, gently challenging with honest and direct communication. Such spaces are the bedrock for multiple perspectives and only when there are multiple and diverse perspectives, can we inspire new possibilities (“Sambhaavna” in Sanskrit/Hindi).Being a motorcycle rider has helped her discover herself by pushing the boundaries of mind, body and soul and creating new possibilities, something she passionately believes in and wishes to live. While there are many ways of describing her - from a romantic poet to a relentless activist, what she relates to the most, is curious learner and an adventurous explorer. Caregiver Saathi (www.caregiversaathi.co.in) is an endeavour to acknowledge and support Caregivers of patients with terminal illness or chronic conditions, so that together we can improve the quality of their lives, their well-being and those that they care for.Saathi is Hindi for “companion” and we believe caregivers of terminally ill patients need a friend who understands, supports and is there for them as they walk along the difficult path of supporting their loved ones.There are many ways in which a caregiver is challenged and often the caregiver also needs care, emotional support, understanding, easy access to information, guidance from experts and wisdom from others who have similar experiences. It is our endeavour to bring it all together and make it easy access for the caregiver.We want to create an integrated ecosystem of well-being for those family members who are primary caregivers to their dear ones battling chronic medical conditions or terminal illness. We partner with doctors, health practitioners, employers and well-wishers of caregivers to build a supportive community for the caregivers. www.caregiversaathi.co.in At Sambhaavna (www.sambhaavna.com) we are passionate about working with individuals, teams and organisations, who want to change, grow and make a difference. It is particularly gratifying for me to visualize change and and then see it manifest, both at the individual and at the organization level. With over 20 years of experience in diverse global companies either as an HR leader or as a consultant and coach, I bring practical experience of accomplishments inside organisations along with a depth of professional knowledge which I continue to develop.While there are many ways of describing me - ranging from a romantic poet to a cynical activist, what I would relate to the most would be a curious learner and an adventurous biker.I believe we thrive in organizations or spaces that are co-created, trusting, gently challenging with honest and direct communication. Such spaces are the bedrock for multiple perspectives and only when there are multiple and diverse perspectives, can we create new possibilities (“Sambhaavna” in Sanskrit/Hindi).Currently, I partner with organizations in the areas of Strategic Human Resources, Organization Development, Capability Building and Talent Management. My areas of interest include Change and transitions, Innovation, Creative expression, group dynamics and transpersonal psychology.There are many customised ways in which we partner with organizations ranging from long-term agreements (12-36 months) for change as a part of organization development to short-term project-based interventions (5-6 workshops) for capability building, leadership development or results-based executive coaching (9-18 months). As a member of a network of associates, we partner with other OD consultants to service the needs of the organizations.As an Entrepreneur, I run a social organization called Caregiver Saathi which provides support and wellbeing to caregivers of family members who are terminally ill or have chronic conditions."
Dhiren Shah,"Global Head of Securities Settlements Platform and Lead Architect for Operations Technology WHAT I DO: I help global organizations build and scale global technology teams that innovate solutions to improve enterprise architecture, while providing strategic technology guidance and governance. I’m known for effective leadership in the areas of relationship development, technology management, roadmapping, implementation, and team building. WHAT MAKES ME DIFFERENT: I have demonstrated organizational value through earned promotions and carefully cultivated career progression, driving consistent, diligent results for leading organizations including AT&T, Merrill Lynch and Morgan Stanley. From my time as a hands-on programmer to most recently managing a large global development team of 250 developers to deliver 60+ projects, and oversee portfolio of 83 applications; weilding a budget of $30M and supporting 2000+ global users. My experiences coupled with my natural abilities in communications, training, and team management allows me to add immediate and measurable value towards global strategic goals. READY TO TALK? Reach out to me directly here on LinkedIn. SPECIALITIES Technology Management | Operational Leadership | Strategic Architectural Design & Planning | Enterprise and Digital Architecture | | Services Oriented Architecture | IT Spend Optimization | Team Leadership | Roadmap Definition | Stakeholder Management | Analysis | Data Management | Negotiation | Risk Management | Vendor Negotiation | Project Management | Process Improvement | Relationship Management | Stakeholder Management | Budgeting | Forecasting | Project Analysis | Presentation | Project Delivery | Training | Performance Management WHAT I DO : Global Head of Securities Settlements Platform and Lead Architect for Operations Technology WHAT I ACHIEVED: Leading the global organization through multiple transformations, while creating the next generation of industry leading Securities Settlements Platform. Parallel transformations include - Creation of a single cloud native platform on Azure - Adoption of Agile @ Scale with 16 squads - Managing skill transformation and creating independent squads with required capabilities -Creating emergent architecture to expedite time to market and optimize current portfolio -Creating blue prints for cloud adoption and driving strategic transformation across operations technology - KPIs targeted by the transformations include o Business Enablement – create new revenue channels o Lower risks and increased controls o Improved end user efficiency o Reduction in TCO o Improved Inventory Management & Reduction in Fails o Lower Funding Costs o Developer Productivity o Time to deliver an incremental feature WHAT I DO: Lead Architect and Global Development Manager. Finance Strategic Architecture and Product Control IT WHAT I ACHIEVED: - Introducing Data Management techniques to curate value from data assets and create a foundation for creating Data as a Service for enabling self-service data analytics platform. Looking at machine learning-based tools to discover, curate and organize data for effective sharing of dataset and insights within the data analyst community. - Successfully led the development and completion of a multi-year FED mandated detailed sub-ledger program driving finance to risk integration - Transformed development organization to successfully adopt Agile and DevOps practices WHAT I DO: Architect and Development Manager for Balance Sheet Usage & Optimization application WHAT I ACHIEVED - Managed a global team of 35 developers for implementation of the Phoenix Funding system, a strategic platform for providing business performance metrics to senior management. The application creates desk level balance sheets by modeling highlevel business processes and creating internal transactions. This is a highly complex application processing huge volumes of data (~500MM Journals a day) and implementing 70+ calculations. - Managing a global team of 35 developers for implementation of the system. Phoenix project is the pillar for transforming the institutional securities business in the new regulatory environment and is the foundation of Finance Strategic Architecture. WHAT I DO: Chief Technology Office for US Operations. WHAT I ACHIEVED: - Financial Technologies has a vast array of STP-ready products for securities processing, covering front-office, middle-office and back-office functions of equities, futures &amp; options, fixed income, commodities &amp; money markets. - Identified and bridged functionality gaps and changing architecture to ready the products for the US markets. - Was also involved in evaluating emerging technologies and leveraging them to improve and ready the product offerings for global markets. WHAT I DO: Vice President & Development Manager, Enterprise Data Management team WHAT I ACHIEVED: - P&amp; B Renovation - Designed logical &amp; physical design of the Operational Data Store for event-driven multi-asset class Positions &amp; Balances system (Libra). - Leveraged data exploration tools to understand the usage &amp; statistics of current data elements. The new system implements re-engineered business processes to support a globally available, 7 x 24 STP environment. - Evaluated technologies and successfully implemented commissions data warehouse Implemented a Data Mart for Military Segment of the marketing group. The data mart is being developed using Sybase IQ, Microsoft SqlServer, Net Dynamics and Cold Fusion. End-users will have access to the data mart through intranet and will be able to analyze data using multiple dimensions (for Data Mining, Identifying usage patterns etc.). SeagateInfo & custom ColdFusion apps are developed to provide OLAP & Reporting functionality. Also implemented a spohistioated data warehouse for US Travelers usage details using RedBrick Data warehouse 5.1 and Cognos. This involved implementing algorithms to determine trip level metrics. Managed development of Dynamic Mosaic, a financial modeling tool to identify the best mix of connectivity options and geography for AT&T to enter the local services market considering the capital and EBIT constraints. Mosaic provides a What / If scenario analysis tool. Managed the development of Integrated Business Management System for AT&T Labs, IBMS consists of Sales Funnel, Project Tracking, Time Processing, Expense Processing, Financial Reporting and Billing modules. Responsible for Analysis & Design and business processes reengineering and aligning internal IT with business strategy. Was responsible for analyis and design the system. Enterprise automates all the customer services related activities i. e. Customer Service Agreements, Inventory of Supplies, Fault Management, Billing, Provisioning etc. The system has a distributed Client/Server architecture with a Wollongong LAN on the Client with MS Windows front-end. The server has 2 tiered architecture, with Sun Workstations. The Client/Server communication is done using RPC protocol and Netwise RPC tool is used to accomplish this. The data is distributed using DbVista on the Client platform and Oracle on the Server platform. Lead a team of 5 programmers in the design and development of the Fault Management module of the system utilizing an Application Construction Environment tool we developed allowing event / method mapping for client windows. Organization"
Hemant Ramnani,"Enterprise Sales Leader at Zendesk. Leadership: Love building sales teams, mentoring and coaching them, and partner with sales team members to help them exceed their revenue goals. Entrepreneurship: Product Management, Technology, Finance, Legal, Investors, Prospects, Customers, Team and more - it keeps getting better day by day. Partnership: Creating a clear partnership value proposition and building a business around the same. Leading a team globally to make this happen. Sales: Selling software product and solution development services to ISVs and Enterprises that can eventually help them increase their revenue, margins and brand. Account Management and Program Management: Previously led teams from a technical and management perspective. Primary point of contact for the customer - both offshore and onsite. Development: Experience in development of solutions and products in the Identity Management space. Specialties: Databases, Identity Management, Social Networking, Search engines, data warehousing, data mining, SaaS/Cloud, Social Media, mobility, low code platforms, robotic process automation and more. Leading sales for Zendesk Sunshine Conversations platform - AMER region. Zendesk is a service-first CRM company that builds support, sales, and customer engagement software designed to foster better customer relationships. Zendesk Sunshine Conversations is a messaging platform that empowers businesses to have more personal conversations with their customers by giving every team the same view of the ongoing conversation and the ability to engage with customers on any channel, be it for sales, service or marketing. Led a sales team of 8 people - hunting and farming responsibility. We are responsible for for Intelligent Business Automation (BPM, Low-code, AI/ML) and Security horizontal lines. Led a team of 8 people - hunting and farming responsibility. Helping enterprises increase revenue, improve margins and create a world class brand by transforming the way they digitally transact with their customers, engage with employees proactively and treat suppliers and vendors as an extension of their team. Leading west coast sales for DxContinuum - a sales analytics company powered by AI / ML for predictive sales forecasting as well as opportunity scoring and product recommendations (cross sell). Part of the US Platform sales team at salesforce.com. Help enterprises solve their business and technology problems using salesforce.com's platform offerings."
Sanjiv Anand,"Chairman, Cedar Management Consulting International Chairman, IBS Intelligence, a Cedar venture With over 30 years of global management consulting experience, Sanjiv started his career in the US, where for over 7 years, he developed strategy for US telecom and electronic markets. Subsequently he set up operations in Asia and the Middle East . He has assisted Boards and CEOs of global and regional firms, develop and execute business strategy, transform business operations and address strategic HR and restructuring challenges. He is an international expert on the Balanced Scorecard, having executed over 300 scorecards. Sanjiv has driven over $4 billion of FDI into Asia and assisted private equity firms in over $1 Billion in investments. Well published (BusinessIndia, Gulf News), Sanjiv has been a key note speaker at global conferences. He has been a member of the Stern Alumni Council in New York, and is the President of the Stern India Alumni Group. He has been a Special Invitee to the Board of Governors of Malaviya National Institute of Technology, one of India's leading technology institutes. Sanjiv is a Former Chapter Chair of the World Presidents Organization (WPO) and YPO, and the Doing Business with India YPO Network. His first book published by McGraw Hill titled ""Unlocking Human Capital to Drive Performance: A CEO's Handbook has been a best-seller. His most recent book titled ""Execution Excellence: Making Strategy Work using the Balanced Scorecard"" is about to be published globally by J.Wiley. Sanjiv has identified the top 20 strategic and operational answers to managing human capital at the CEO level, right from recruiting, executive compensation, culture, succession planning, and managing the board on these issues. The book with its many satirical illustrations is designed to make the topic an easy read. Specialties: 1. Corporate and Divisional Strategy. 2. Strategy deployment and enterprise performance management using the Balanced Scorecard 3. Business and Organizational Transformation 4. Global entry strategy 5. Financial Industry and Banking Expert Cedar is a global consulting, research and analytics firm. With over 25 years of experience, Cedar has assisted more than 1000 clients across industry sectors in the formulation of their strategy for the growth and transformation of their business. The company’s heritage in the Balanced Scorecard has enabled rapid implementation of strategy across their customer, process, organizational and business technology framework. Headquartered in the US, Cedar has a network of offices in 15 locations, worldwide. For more information, please visit www.cedar-consulting.com Cedar's research business in the financial services industry operates as IBS Intelligence. For further information please visit www.ibsintelligence.com Renaissance Worldwide acquired Technomic and till 2000, listed on the NASDAQ, headquartered in Boston, Renaissance was a $1 Billion management consulting firm. Rapidly built the India, South Asia management consulting practice in the area of strategy formulation and deployment using the Balanced Scorecard and business transformation. Also played a significant role in the transformation of cellular operators in India in the early days of the very successful Indian telecom growth story. Started the middle east operations in 1999-2000. Continued to assist leading global corporations and private equity funds in their entry of Indian and Asian markets. Set up the India office, and assisted major global corporations like Whirlpool, Emerson Electric, Sara Lee, etc in developing entry strategy for Indian and South Asian markets and assisting in market entry through greenfield, mandamp;a, and joint venture transactions. Started career in Chicago in 1985 as part of the electronics and telecom consulting practice assisting US F500 clients in the development of US corporate and divisional strategy with significant focus on telecom. Played an important roles in assisting ATandamp;T, Bell Labs, GTE, Nortel, Ericsson, and the US bell operating companies transition successfully the new US deregulated markets."
Shuva Mandal,"Managing Partner - Fox Mandal & Associates With more than 30 years of experience as a lawyer, I am currently the Managing Partner at Fox Mandal & Associates. As a corporate & commercial lawyer, I have assisted multiple entities spanning across industry sectors in making Inbound Investments to India and facilitated numerous M&A, Corporate Finance & Private Equity transactions. I have further advised family businesses and HNWIs on setting up a governance structure, restructuring the business, obtaining new investment, and succession planning among other things. I have also supported clients on the disposal of companies, private equity & securities transactions, and public offerings of debt and equity. Other areas of practice include: Real Estate, Employment &amp; Labour, Non-Profit Organisation, Education Specialities: Guidance on Family Business, Business Strategy, Inbound Investment to India, M&A, Corporate Finance, Private Equity & Securities transaction including Real Estate & Infrastructure documentation. Awards: A-List Lawyer by the Indian Business Law Journal I am the Managing Partner at Fox Mandal & Associates, which is a group firm of Fox Mandal, operating in South India. We are an awarded full-service law firm with a pan-India presence and have been in existence for more than 120 years."
Snigdha Singh,"Executive Director at Morgan Stanley A senior technology manager in the institutional finance domain with a strong exposure to Equity Swaps, Equity Derivatives, Delta One and Synthetic products in both front and middle office areas. Have about 20 years of experience in business analysis, architecture, design and delivery of enterprise-scale derivatives systems and programs on a variety of platforms. I have worked on multiple markets from the US to India covering a number of regulatory nuances such as Dodd Frank, EMIR, MiFID and India Tax Regulations. I have helped build and lead high performing, cross regional teams in these areas. Today I lead the India equity swaps team and the swaps STP initiative globally. My team is involved in all areas of the equity swaps life cycle including product creation, trade enrichment, allocation, cash flow, risk and reporting. This includes not just IT stakeholder management but active interactions with the swaps desk and senior business management. Have proven skills in partnering with the business in dealing with the fast changing regulatory and market landscape over the last few years often with rapidly changing requirements and aggressive timelines. Recent external talks: Keynote panelist on the 'Disruptive Technologies' panel at Electronics for You (EFY), Digital Week conference at Bengaluru - Feb 2018 Presentation on 'Blockchain in Financial Services' , EFY Digital Week conference - Feb 2018 Participated as a mentor at R3Roadshow, return to work program, organized by JobsForHer - Jan 2018 Presentation on 'Effective Application Development through Design Thinking Principles' at Grace Hopper Conference -Nov 2017 Panelist on the 'Technology in Finance' panel discussion at Grace Hopper Conference - Dec 2015"
Aadil Bandukwala,"As a growth-driven leader excited about the future of technology, I believe in accountability. I have a proven track record of increasing Marketing's impact to business, driving measurable growth year over year. I am guided by a simple mantra: Do more of what works; eliminate what doesn't. In my current professional avatar, I'm Senior Director of Marketing at HackerRank - a technology hiring platform that is the standard for assessing developer skills across Fortune 500 companies today and is backed by Y Combinator, Khosla Ventures, Battery Ventures & JMI Equity. I previously ran Marketing at Sequoia Capital backed Belong, was one of LinkedIn India's first Customer Success hires and helped launch and scale Dell's Social Media Recruiting and Employer Branding CoE in India. SHRM India has ranked me as one of India’s Top 20 Most Influential People in Human Resources on Social Media for five years from 2014 to 2019. In 2019, I authored a book called 'Outbound Hiring: How Innovative Companies are Winning the Global War for Talent' which was published by Bloomsbury Worldwide and retails at major online and offline channels. I host a Podcast called The Great Indian Marketing Show which for all of early 2021 has been trending as one of India's Best Marketing Podcasts on Apple Podcasts. At HackerRank, we empower some of the worlds most innovative brands to build great teams end-to-end, fully remote and from anywhere in the world. In my current role, I strive to scale our demand generation efforts to have a direct tangible impact on our revenue funnel, scale our thought leadership programs across new age formats like livestreams, podcasts, gated assets and more. I'm also responsible for running HackerRank's Social Media Channels globally which have over 1.2 Million Followers across platforms with a distinct focus on two specific audiences - B2B & B2C which are targeted at a combination of over half a dozen personas. At HackerRank, I run Marketing across APAC with a key focus on Demand Generation, Category Creation, Market Awareness, all things Brand and Customer Advocacy. HackerRank helps over 2000+ companies around the world build great teams end-to-end, fully remote and from anywhere in the world. The HackerRank Developer Skills Platform creates a seamless experience that developers and hiring teams love every step of the way. We're backed by JMI Equity, Khosla Ventures, Battery Ventures, Recruit Holdings, Randstad and Y Combinator. With the Great Indian Marketing Show, my friend Kaushik Satish and me bring you stories and experiences of marketing leaders behind some of the most pioneering brands in the world. Our aim is to uncover not just what marketers do, but how. And to do it in a way, that's fun, creative and compelling. The show cuts through the jargon, eschews the 30,000 feet view and gets to the brass tacks. At the end of every podcast, we want you to walk away discovering something new; something that adds value to your career and life! Was responsible for the development and execution of the company’s go-to-market strategy as well as market awareness, demand generation, and field enablement programs. My direct responsibilities included product marketing, public relations, digital marketing, demand generation and customer marketing. Worked extensively on building a public relations and thought leadership strategy and execution road map for our B2B audience specifically in the talent and business functions to create category awareness around our key focus area: Outbound Hiring. Authored a book on Outbound Hiring - How Innovative Companies are Winning the Global War for Talent - which was published by Bloomsbury World Wide. Both Print Editions and Online Editions were launched as the book was available at retail stores as well as online platforms like Amazon and Flipkart. Gopal Vittal, CEO of Airtel wrote the foreword for the book. Helped develop the public relations strategy for the firm. Was a strategic advisor on media and communication issues to the founders and senior leadership of the company. Conceptualised and drove our thought leadership agenda by working closely with our data, analytics and marketing teams to ensure the right outreach, communication and impact across channels - both offline and online. My role at LinkedIn was to partner with clients in India and help them understand the value of direct sourcing, impact of social recruiting and the importance of employer branding in the digital age. On a day to day basis, I strived to determine my clients' recruitment goals, drive best practices and maximize usage of their LinkedIn hiring solutions. I shared industry trends, best practices and offered product consultation and education for clients to optimize their recruitment processes and talent brand. I worked with a cross-functional global team to deliver market insights, customer education and change management support which enhanced client adoption and engagement of LinkedIn’s transformational technology. In years 2013 and 2014 at LinkedIn, I've consulted with the likes of Microsoft, Amazon, eBay, Flipkart, InMobi, Oracle, Mercedes Benz, Target, Honeywell and iGate and helped them build, engage and nurture their Social Recruiting Strategy and Employer Brand. In 2015, I was focused on ramping up LinkedIn's Enterprise Accounts in India helping them scale the adoption curve of social recruiting and building foundational pillars of their employer branding play. As part of my unique role, I also worked on boosting LinkedIn's thought leadership quotient for the India market. My avatar at LinkedIn saw me constantly interacting with CXOs in India on their talent brands. Quarter on quarter, I conducted workshops for CXOs and their Leadership Teams on Talent at Scale and being Social Media & Talent Brand Evangelists. Was part of the Global Talent Acquisition Social Media strategy team responsible for crafting and executing the Talent Acquisition Social Media strategy in India. Supported social media channels to help effectively communicate Dell's Employment Brand as well as increase overall application rate & hires from social media. Researched & recommended best practices / uses of Social Media in India from the Talent Acquisition perspective. Work extensively on Employment Branding for the India region beefing up Dell India's Employer Brand quotient across different talent marketplaces. Upskilled the Dell India Talent Acquisition Team on using different social channels like LinkedIn, Twitter, Facebook, Quora, Glassdoor, Youtube and Klout to improve their social personas, scale their professional brands, improve their abilities from a direct sourcing standpoint and transform into new age recruiting rockstars."
Aanand Krishnan,"Cybersecurity executive, entrepreneur and startup advisor with a passion for data privacy. I bring 2 decades of Silicon Valley experience in building world-class products and providing strategic advice to executive management on a wide range of topics - product strategy, long-term planning, M&A and corporate strategy. I have hands-on expertise on a wide range of technologies - security, enterprise IT, software, consumer electronics, semiconductors and networking. Tala is the leading DevSecOps solution for client-side web app security. Tala protects enterprise websites against new and advanced attacks including magecart, formjacking and third-party javascript attacks. Tala prevents customer online journey hijacking and helps retailers and ecommerce vendors increase conversion rates on the web. Raised $14mm in funding, backed by premium VCs and CEOs and founders of the world's largest security companies. Fortune 100 customers. Tala was acquired (talent, IP) by Fortune 500 Software Company. 2020 RSA Innovation Sandbox Finalist. 2020 CNP Award for Best Anti-Fraud Start-Up (Judges, Customer Category) 2019 Gartner Cool Vendor. 2020 TAG Cyber Distinguished Vendor. Recipient of NSF Grant. Plug n Play Cybersecurity Accelerator. Security analytics - using data to solve the hardest problems in security. Played a leading role in the creation of Symantec's long term strategy - Unified Security. I was a member of a select group of individuals chosen from across the company to engage in the strategy creation process. Advisor to the office of the CTO on all technology strategy discussions, market trends and inorganic growth opportunities. Promoted in August 2014. Built core tech that is now a standalone company in the cyber insurance space (Cybercube) Won Quarterly Recognition Award in fiscal year 2015. Winner of Achievers MVP Award for 2015. Selected for Xcellerate program for high performing managers and future leaders. Winner of CTO quarterly recognition award. - Managed various private and public M&A projects for Dolby, including sourcing, diligence, valuation, negotiation and integration. Publicly announced acquisitions include Dolby’s acquisition of IMM Sound and Cine-tal’s DAVIO business. - Designed and established a policy for Dolby executive staff to evaluate minority investments in consumer electronics startups. Created a decision making framework and guidelines to evaluate, structure and manage such investments. Led three investments by Dolby, including an investment in 7Digital, a UK based leading e-Commerce retailer of digital music. - Received the highest company-wide rank of 5/5 (outstanding) in FY12 – given only to a handful of Dolby’s ~ 1,500 employees. Advisor to clients across hardware, semiconductor, software, clean energy and networking industries. Representative transactions include: - Buy-side: JDSU $165mm acquisition of Agilent’s Network Solutions Test business; Applied Materials $364mm acquisition of Semitool. - Sell-side: Atmel Secure Microcontroller business sold to INSIDE Contactless; Atmel’s defense against a $2.3B unsolicited offer from Microchip and ON Semiconductor. - Equity and Convertible Offerings: $100mm Series-E private placement by Silver Spring Networks (drafted S-1 filed July 2011); $435mm follow-on offering by Avago Technologies; $159mm follow-on offering by Palm; $100mm convertible investment by Elevation Partners in Palm."
Abhijeet Vijayvergiya + nektar (1 About only),"My SaaS journey: Customer Success -> AE ->Sales Manager ->VP Sales ->Board Member-> Founder. Advisor to B2B SaaS startups | Angel Investor | Bullish about Global SaaS | Here to share Seed to scale ?? hyper-growth experience & learnings. DM me if you would like to chat about. Scaling a SaaS business from Zero to 50Mn ARR+ Building a high performing distributed Go To Market team. Build in Asia and sell to global markets. Setting up and scaling your sales team, processes and sales playbooks. Pipeline acceleration, Revenue Operations, Sales enablement, productivity and Remote selling. Optimizing your sales and marketing tech stack. APAC business expansion. Startup Fundraise. Anything on SaaS or its future."
Abhinav Khushraj,"Co-founder Petasense, Co-founder Stealth Startup. I am a technology entrepreneur with experience across enterprise infra, IoT, observability and AI-based predictive analytics. Most recently, I was the co-founder & CEO of Petasense, a hardware + SaaS industrial analytics & observability startup, backed by top tier VCs (True Ventures and Felicis Ventures). The startup was a top-10 most disruptive machine learning startup in Google ML Competition out of 350 contenders. I have also done stints in VC and consulting. I have worked in 4 countries and have worked for developed and emerging markets including the US, Greece, New Zealand, India, Indonesia, Brazil and Latin America. I am an investor and advisor for startups. I founded the first, multi-campus, fully-online course at BITS Pilani. As BITS Alumni Association's board member, I also created an angel network that has backed companies collectively valued at over $1 billion. A hardware + SaaS startup for industrial analytics, equipment observability and predictive maintenance. * BITS Spark Angels, Co-founder, Jan 2012 - Mar 2015, Angel investment with 50+ investors backing startups with a combined value of $1B+ * BITSAA Board Member, Mar 2012 - Jun 2019 * Startup Leadership Program, Co-founder of Silicon Valley Chapter, Aug 2009 - Dec 2009 * New Venture Creation, Co-founder, May 2009 - Dec 2012, First, cross campus, fully-online course at BITS Pilani, India's number 1 private technology institute. Grey Orange Robotics, Investor Jan 2013 - Mar 2019, & Board Observer Jan 2013 - Jan 2014 Th Fabric (Appcito), EIR Jan 2013 - Mar 2013, Acquired by A10 Networks Framebench, Investor & Advisor, Nov 2009 - Jan 2016, Acquired by FreshWorks TunePatrol, Advisor, Jan 2012 - Sep 2013, Acquired by a media company Run The Red, Consultant, May 2007 - Jun 2007"
